Spp,Fragment_ID,Date,Nutrient_Treatment,Replicate_Tank,YII,Genotype,Days_in_Experiment,Time_Point,Sample_ID,Phase,Symbiodiniaceae_genus
Ac,Ac_249,2018-02-19,NH4,R1,0.504,G_31,96,T18,Ac_249_T18,Heat,Symbiodinium
Ac,Ac_299,2018-02-19,NH4,R2,0.46,G_31,96,T18,Ac_299_T18,Heat,Symbiodinium
Ac,Ac_177,2018-02-19,NH4,R1,0.551,G_48,96,T18,Ac_177_T18,Heat,Symbiodinium
Ac,Ac_187,2018-02-19,NH4,R2,0.438,G_48,96,T18,Ac_187_T18,Heat,Symbiodinium
Ac,Ac_190,2018-02-19,NH4,R1,0.547,G_48,96,T18,Ac_190_T18,Heat,Symbiodinium
Ac,Ac_278,2018-02-19,NH4,R2,0.478,G_48,96,T18,Ac_278_T18,Heat,Symbiodinium
Ac,Ac_282,2018-02-19,NH4,R1,0.542,G_48,96,T18,Ac_282_T18,Heat,Symbiodinium
Ac,Ac_285,2018-02-19,NH4,R2,0.499,G_48,96,T18,Ac_285_T18,Heat,Symbiodinium
Ac,Ac_288,2018-02-19,NH4,R1,0.556,G_48,96,T18,Ac_288_T18,Heat,Symbiodinium
Ac,Ac_117,2018-02-19,NH4,R1,0.544,G_62,96,T18,Ac_117_T18,Heat,Symbiodinium
Ac,Ac_120,2018-02-19,NH4,R2,0.516,G_62,96,T18,Ac_120_T18,Heat,Symbiodinium
Ac,Ac_123,2018-02-19,NH4,R1,0.548,G_62,96,T18,Ac_123_T18,Heat,Symbiodinium
Ac,Ac_126,2018-02-19,NH4,R2,0.45,G_62,96,T18,Ac_126_T18,Heat,Symbiodinium
Ac,Ac_130,2018-02-19,NH4,R1,0.539,G_62,96,T18,Ac_130_T18,Heat,Symbiodinium
Ac,Ac_221,2018-02-19,NH4,R1,0.527,G_62,96,T18,Ac_221_T18,Heat,Symbiodinium
Ac,Ac_224,2018-02-19,NH4,R2,0.482,G_62,96,T18,Ac_224_T18,Heat,Symbiodinium
Ac,Ac_230,2018-02-19,NH4,R2,0.501,G_62,96,T18,Ac_230_T18,Heat,Symbiodinium
Ac,Ac_165,2018-02-19,NH4+PO4,R1,0.544,G_07,96,T18,Ac_165_T18,Heat,Symbiodinium
Ac,Ac_233,2018-02-19,NH4+PO4,R2,0.573,G_08,96,T18,Ac_233_T18,Heat,Symbiodinium
Ac,Ac_155,2018-02-19,NH4+PO4,R2,0.554,G_31,96,T18,Ac_155_T18,Heat,Symbiodinium
Ac,Ac_247,2018-02-19,NH4+PO4,R2,0.535,G_31,96,T18,Ac_247_T18,Heat,Symbiodinium
Ac,Ac_250,2018-02-19,NH4+PO4,R1,0.552,G_31,96,T18,Ac_250_T18,Heat,Symbiodinium
Ac,Ac_178,2018-02-19,NH4+PO4,R1,0.507,G_48,96,T18,Ac_178_T18,Heat,Symbiodinium
Ac,Ac_184,2018-02-19,NH4+PO4,R1,0.522,G_48,96,T18,Ac_184_T18,Heat,Symbiodinium
Ac,Ac_188,2018-02-19,NH4+PO4,R2,0.574,G_48,96,T18,Ac_188_T18,Heat,Symbiodinium
Ac,Ac_276,2018-02-19,NH4+PO4,R1,0.533,G_48,96,T18,Ac_276_T18,Heat,Symbiodinium
Ac,Ac_280,2018-02-19,NH4+PO4,R2,0.564,G_48,96,T18,Ac_280_T18,Heat,Symbiodinium
Ac,Ac_286,2018-02-19,NH4+PO4,R2,0.555,G_48,96,T18,Ac_286_T18,Heat,Symbiodinium
Ac,Ac_289,2018-02-19,NH4+PO4,R1,0.545,G_48,96,T18,Ac_289_T18,Heat,Symbiodinium
Ac,Ac_118,2018-02-19,NH4+PO4,R1,0.539,G_62,96,T18,Ac_118_T18,Heat,Symbiodinium
Ac,Ac_124,2018-02-19,NH4+PO4,R1,0.53,G_62,96,T18,Ac_124_T18,Heat,Symbiodinium
Ac,Ac_128,2018-02-19,NH4+PO4,R2,0.568,G_62,96,T18,Ac_128_T18,Heat,Symbiodinium
Ac,Ac_222,2018-02-19,NH4+PO4,R1,0.504,G_62,96,T18,Ac_222_T18,Heat,Symbiodinium
Ac,Ac_225,2018-02-19,NH4+PO4,R2,0.559,G_62,96,T18,Ac_225_T18,Heat,Symbiodinium
