Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate28_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-18 13:14:46 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
F10,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
F11,Sample 20,Ssid,UNKNOWN,SYBR,None,17.7625598907,17.8539791107,0.1292863041,,,,0,0.02,1,3,16,,N,N,N,N
F12,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,33.1243858337,32.8664779663,0.3647395074,,,,0,0.02,1,3,31,,N,N,N,Y
F12,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
G1,Sample 6,Ssid,UNKNOWN,SYBR,None,19.4226131439,19.1327934265,0.4098656178,,,,0,0.02,1,3,17,,N,N,N,N
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,34.8412513733,34.8412513733,,,,,0,0.02,1,3,31,,N,N,N,N
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,29.3683185577,29.03606987,0.4698705971,,,,0,0.02,1,3,27,,N,N,N,N
G3,Sample 6,Ssid,UNKNOWN,SYBR,None,18.8429756165,19.1327934265,0.4098656178,,,,0,0.02,1,3,17,,N,N,N,N
G4,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.8412513733,,,,,0,0.02,1,3,39,,N,N,N,Y
G4,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,28.7038211823,29.03606987,0.4698705971,,,,0,0.02,1,3,27,,N,N,N,Y
G5,Sample 13,Ssid,UNKNOWN,SYBR,None,22.3210105896,22.566072464,0.3465698361,,,,0,0.02,1,3,21,,N,N,N,N
G6,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,35.9109458923,35.9109458923,,,,,0,0.02,1,3,34,,N,N,N,N
G6,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,30.4663486481,30.6816215515,0.3044418693,,,,0,0.02,1,3,28,,N,N,N,N
G7,Sample 13,Ssid,UNKNOWN,SYBR,None,22.8111343384,22.566072464,0.3465698361,,,,0,0.02,1,3,21,,N,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.9109458923,,,,,0,0.02,1,3,39,,N,N,N,Y
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,30.896894455,30.6816215515,0.3044418693,,,,0,0.02,1,3,29,,N,N,N,Y
G9,Sample 21,Ssid,UNKNOWN,SYBR,None,18.3287239075,18.3944816589,0.0929968506,,,,0,0.02,1,3,17,,N,N,N,N
G10,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,32.2191848755,33.2304878235,1.4301983118,,,,0,0.02,1,3,30,,N,Y,N,Y
G10,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
G11,Sample 21,Ssid,UNKNOWN,SYBR,None,18.4602413177,18.3944816589,0.0929968506,,,,0,0.02,1,3,17,,N,N,N,N
G12,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,34.2417907715,33.2304878235,1.4301983118,,,,0,0.02,1,3,32,,N,Y,N,Y
G12,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
H1,NTC,Ssid,NTC,SYBR,None,11.3980998993,,,,,,0,0.02,1,3,21,,Y,N,N,N
H2,+,C,UNKNOWN,VIC,NFQ-MGB,29.9947147369,31.1706008911,1.6629527807,,,,0,0.02,1,3,28,,N,Y,N,N
H2,+,D,UNKNOWN,FAM,NFQ-MGB,28.1390094757,29.0383071899,1.2717989683,,,,0,0.02,1,3,26,,N,Y,N,N
H3,Sample 14,Ssid,UNKNOWN,SYBR,None,20.8930511475,21.0818309784,0.2669749856,,,,0,0.02,1,3,19,,N,N,N,N
H4,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,34.8329277039,36.5963134766,2.493806839,,,,0,0.02,1,3,33,,N,Y,N,N
H4,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,32.5176620483,33.5314331055,1.4336861372,,,,0,0.02,1,3,31,,N,Y,N,N
H5,Sample 14,Ssid,UNKNOWN,SYBR,None,21.2706108093,21.0818309784,0.2669749856,,,,0,0.02,1,3,20,,N,N,N,N
H6,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,38.359703064,36.5963134766,2.493806839,,,,0,0.02,1,3,35,,N,Y,N,N
H6,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,34.5452003479,33.5314331055,1.4336861372,,,,0,0.02,1,3,33,,N,Y,N,N
H7,Sample 22,Ssid,UNKNOWN,SYBR,None,20.2430000305,20.2369861603,0.0085048964,,,,0,0.02,1,3,18,,N,N,N,N
H8,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,37.5656318665,37.2432746887,0.4558818936,,,,0,0.02,1,3,34,,N,N,N,N
H8,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,31.5259342194,31.556060791,0.0426067561,,,,0,0.02,1,3,30,,N,N,N,N
H9,Sample 22,Ssid,UNKNOWN,SYBR,None,20.23097229,20.2369861603,0.0085048964,,,,0,0.02,1,3,18,,N,N,N,N
H10,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,36.920917511,37.2432746887,0.4558818936,,,,0,0.02,1,3,34,,N,N,N,N
H10,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,31.58618927,31.556060791,0.0426067561,,,,0,0.02,1,3,29,,N,N,N,N
H11,+,Ssid,UNKNOWN,SYBR,None,17.7472133636,18.1935768127,0.6312546134,,,,0,0.02,1,3,15,,N,Y,N,N
H12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
H12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
