Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate37_CD.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-28 16:30:23 PM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,NOISE,EXPFAIL
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,31.2465934753,31.3958263397,0.2110471427,,,,0,0.02,1,3,29,,N,N,N,N,N
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,29.7451133728,29.7556266785,0.0148667106,,,,0,0.02,1,3,28,,N,N,N,N,N
G9,Sample 21,Ssid,UNKNOWN,SYBR,None,19.8177757263,20.0938034058,0.3903620839,,,,0,0.02,1,3,18,,N,N,N,N,N
G10,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,31.390253067,31.6424217224,0.3566203415,,,,0,0.02,1,3,29,,N,N,Y,N,Y
G10,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
G11,Sample 21,Ssid,UNKNOWN,SYBR,None,20.3698310852,20.0938034058,0.3903620839,,,,0,0.02,1,3,18,,N,N,N,N,N
G12,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,31.8945903778,31.6424217224,0.3566203415,,,,0,0.02,1,3,29,,N,N,N,N,Y
G12,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,Y
H1,NTC,Ssid,NTC,SYBR,None,8.9026966095,,,,,,0,0.02,1,3,39,,Y,N,N,N,N
H2,+,C,UNKNOWN,VIC,NFQ-MGB,30.6709308624,30.7151069641,0.0624744408,,,,0,0.02,1,3,29,,N,N,N,N,N
H2,+,D,UNKNOWN,FAM,NFQ-MGB,28.3666343689,28.4427680969,0.1076680049,,,,0,0.02,1,3,26,,N,N,N,N,N
H3,Sample 14,Ssid,UNKNOWN,SYBR,None,22.9939250946,22.2170410156,1.0986813307,,,,0,0.02,1,3,19,,N,Y,N,Y,N
H4,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,30.5397052765,30.7142963409,0.2469090521,,,,0,0.02,1,3,29,,N,Y,N,N,N
H4,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,31.8965396881,32.3432807922,0.631788671,,,,0,0.02,1,3,30,,N,Y,N,N,N
H5,Sample 14,Ssid,UNKNOWN,SYBR,None,21.4401550293,22.2170410156,1.0986813307,,,,0,0.02,1,3,19,,N,Y,N,N,N
H6,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,30.8888874054,30.7142963409,0.2469090521,,,,0,0.02,1,3,29,,N,Y,N,N,N
H6,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,32.7900238037,32.3432807922,0.631788671,,,,0,0.02,1,3,31,,N,Y,N,N,N
H7,Sample 22,Ssid,UNKNOWN,SYBR,None,20.3217868805,20.4111785889,0.126417622,,,,0,0.02,1,3,19,,N,N,N,N,N
H8,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,31.4537754059,31.2337303162,0.3111920953,,,,0,0.02,1,3,30,,N,N,N,N,Y
H8,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,Y
H9,Sample 22,Ssid,UNKNOWN,SYBR,None,20.5005683899,20.4111785889,0.126417622,,,,0,0.02,1,3,18,,N,N,N,N,N
H10,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,31.0136833191,31.2337303162,0.3111920953,,,,0,0.02,1,3,29,,N,N,N,N,Y
H10,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,Y
H11,+,Ssid,UNKNOWN,SYBR,None,20.2876968384,20.1939048767,0.1326432079,,,,0,0.02,1,3,19,,N,N,N,N,N
H12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N
H12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N
