Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plated27_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-13 06:39:14 AM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,36.1332359314,36.1332359314,,,,,0,0.02,1,3,31,,N,N,N,N
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,29.2669410706,29.3782081604,0.1573540717,,,,0,0.02,1,3,27,,N,N,N,N
G3,Sample 6,Ssid,UNKNOWN,SYBR,None,19.6998672485,20.2075271606,0.7179381847,,,,0,0.02,1,3,19,,N,Y,N,N
G4,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.1332359314,,,,,0,0.02,1,3,39,,N,N,N,Y
G4,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,29.4894733429,29.3782081604,0.1573540717,,,,0,0.02,1,3,28,,N,N,N,Y
G5,Sample 13,Ssid,UNKNOWN,SYBR,None,18.3361644745,18.4385681152,0.1448206156,,,,0,0.02,1,3,17,,N,N,N,N
G6,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,35.0069999695,35.0069999695,,,,,0,0.02,1,3,30,,N,N,N,N
G6,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,28.1238899231,28.1710643768,0.0667147487,,,,0,0.02,1,3,26,,N,N,N,N
G7,Sample 13,Ssid,UNKNOWN,SYBR,None,18.540971756,18.4385681152,0.1448206156,,,,0,0.02,1,3,17,,N,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.0069999695,,,,,0,0.02,1,3,39,,N,N,N,Y
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,28.2182388306,28.1710643768,0.0667147487,,,,0,0.02,1,3,26,,N,N,N,Y
G9,Sample 21,Ssid,UNKNOWN,SYBR,None,19.1396026611,19.0111694336,0.1816333681,,,,0,0.02,1,3,18,,N,N,N,N
G10,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,31.9997882843,31.7135696411,0.4047729373,,,,0,0.02,1,3,30,,N,N,Y,Y
G10,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
G11,Sample 21,Ssid,UNKNOWN,SYBR,None,18.8827342987,19.0111694336,0.1816333681,,,,0,0.02,1,3,18,,N,N,N,N
G12,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,31.4273529053,31.7135696411,0.4047729373,,,,0,0.02,1,3,30,,N,N,N,Y
G12,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
H1,NTC,Ssid,NTC,SYBR,None,32.9099617004,,,,,,0,0.02,1,3,31,,Y,N,N,N
H2,+,C,UNKNOWN,VIC,NFQ-MGB,29.4669551849,29.7277488708,0.3688166142,,,,0,0.02,1,3,27,,N,N,N,N
H2,+,D,UNKNOWN,FAM,NFQ-MGB,27.7349510193,27.9823188782,0.349829644,,,,0,0.02,1,3,26,,N,N,N,N
H3,Sample 14,Ssid,UNKNOWN,SYBR,None,17.6261405945,17.5478134155,0.1107727066,,,,0,0.02,1,3,16,,N,N,N,N
H4,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,34.765171051,34.765171051,,,,,0,0.02,1,3,30,,N,Y,N,N
H4,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,27.8991928101,28.3244514465,0.6014052033,,,,0,0.02,1,3,26,,N,Y,N,N
H5,Sample 14,Ssid,UNKNOWN,SYBR,None,17.4694843292,17.5478134155,0.1107727066,,,,0,0.02,1,3,16,,N,N,N,N
H6,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.765171051,,,,,0,0.02,1,3,39,,N,Y,N,Y
H6,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,28.7497081757,28.3244514465,0.6014052033,,,,0,0.02,1,3,27,,N,Y,N,Y
H7,Sample 22,Ssid,UNKNOWN,SYBR,None,17.9818706512,18.3226718903,0.4819657207,,,,0,0.02,1,3,16,,N,N,N,N
H8,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,31.4515724182,31.6087818146,0.2223276645,,,,0,0.02,1,3,30,,N,N,Y,Y
H8,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
H9,Sample 22,Ssid,UNKNOWN,SYBR,None,18.6634731293,18.3226718903,0.4819657207,,,,0,0.02,1,3,17,,N,N,N,N
H10,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,31.7659912109,31.6087818146,0.2223276645,,,,0,0.02,1,3,30,,N,N,N,Y
H10,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
H11,+,Ssid,UNKNOWN,SYBR,None,17.6772270203,17.7677078247,0.1279578358,,,,0,0.02,1,3,16,,N,N,N,N
H12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
H12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
