Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate38_CD.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-30 10:16:59 AM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,NOISE,EXPFAIL
F11,Sample 20,Ssid,UNKNOWN,SYBR,None,22.2708587646,22.4444046021,0.2454308718,,,,0,0.02,1,3,20,,N,N,N,N,N
F12,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,31.6796607971,31.7670173645,0.1235421896,,,,0,0.02,1,3,30,,N,N,N,N,N
F12,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,26.7229042053,26.6144065857,0.1534388065,,,,0,0.02,1,3,25,,N,N,N,N,N
G1,Sample 6,Ssid,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,Y
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,27.9429531097,27.9535446167,0.0149786528,,,,0,0.02,1,3,26,,N,N,Y,N,Y
G3,Sample 6,Ssid,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
G4,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
G4,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,27.9641361237,27.9535446167,0.0149786528,,,,0,0.02,1,3,26,,N,N,Y,N,Y
G5,Sample 13,Ssid,UNKNOWN,SYBR,None,22.2593803406,21.3912620544,1.2277033329,,,,0,0.02,1,3,19,,N,Y,N,Y,N
G6,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,27.8196868896,27.8856887817,0.0933394209,,,,0,0.02,1,3,26,,N,N,N,N,N
G6,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,33.9831390381,34.0983428955,0.1629201621,,,,0,0.02,1,3,32,,N,N,N,N,N
G7,Sample 13,Ssid,UNKNOWN,SYBR,None,20.5231456757,21.3912620544,1.2277033329,,,,0,0.02,1,3,19,,N,Y,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,27.9516887665,27.8856887817,0.0933394209,,,,0,0.02,1,3,26,,N,N,N,N,N
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,34.2135429382,34.0983428955,0.1629201621,,,,0,0.02,1,3,32,,N,N,N,N,N
G9,Sample 21,Ssid,UNKNOWN,SYBR,None,21.7533035278,21.6882400513,0.0920123011,,,,0,0.02,1,3,20,,N,N,N,N,N
G10,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,28.6152744293,28.8301391602,0.3038659692,,,,0,0.02,1,3,27,,N,Y,N,N,N
G10,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,30.3910655975,30.8414001465,0.6368692517,,,,0,0.02,1,3,28,,N,Y,N,N,N
G11,Sample 21,Ssid,UNKNOWN,SYBR,None,21.6231784821,21.6882400513,0.0920123011,,,,0,0.02,1,3,20,,N,N,N,N,N
G12,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,29.0450057983,28.8301391602,0.3038659692,,,,0,0.02,1,3,27,,N,Y,N,N,N
G12,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,31.2917346954,30.8414001465,0.6368692517,,,,0,0.02,1,3,29,,N,Y,N,N,N
H1,NTC,Ssid,NTC,SYBR,None,7.8431587219,,,,,,0,0.02,1,3,39,,Y,N,N,N,N
H2,+,C,UNKNOWN,VIC,NFQ-MGB,29.8964576721,30.0453033447,0.2104982138,,,,0,0.02,1,3,28,,N,N,N,N,N
H2,+,D,UNKNOWN,FAM,NFQ-MGB,27.6431617737,27.8849544525,0.3419464827,,,,0,0.02,1,3,25,,N,N,N,N,N
H3,Sample 14,Ssid,UNKNOWN,SYBR,None,18.8618583679,19.3903388977,0.7473843098,,,,0,0.02,1,3,17,,N,Y,N,N,N
H4,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
H4,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,27.3096466064,27.3493919373,0.0562070385,,,,0,0.02,1,3,25,,N,N,Y,N,Y
H5,Sample 14,Ssid,UNKNOWN,SYBR,None,19.9188194275,19.3903388977,0.7473843098,,,,0,0.02,1,3,18,,N,Y,N,N,N
H6,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
H6,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,27.3891353607,27.3493919373,0.0562070385,,,,0,0.02,1,3,25,,N,N,Y,N,Y
H7,Sample 22,Ssid,UNKNOWN,SYBR,None,19.4836502075,19.6325531006,0.210579142,,,,0,0.02,1,3,18,,N,N,N,N,N
H8,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,27.1529464722,26.6013317108,0.7801010609,,,,0,0.02,1,3,25,,N,Y,N,N,Y
H8,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.8812255859,,,,,0,0.02,1,3,39,,N,Y,N,N,Y
H9,Sample 22,Ssid,UNKNOWN,SYBR,None,19.7814540863,19.6325531006,0.210579142,,,,0,0.02,1,3,18,,N,N,N,N,N
H10,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,26.0497169495,26.6013317108,0.7801010609,,,,0,0.02,1,3,25,,N,Y,N,N,N
H10,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,35.8812255859,35.8812255859,,,,,0,0.02,1,3,34,,N,Y,N,N,N
H11,+,Ssid,UNKNOWN,SYBR,None,20.2431049347,21.6251869202,1.9545590878,,,,0,0.02,1,3,18,,N,Y,N,N,N
H12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N
H12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N
