Genotype,Treatment,Rep,Frag,Date,ProK T=9,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample.Plate
Green and Orange,NP,R2,225,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 13,Sample 13_Plate11.csv
Green and Orange,NP,R2,229,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 14,Sample 14_Plate11.csv
Orange,NP,R2,155,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 15,Sample 15_Plate11.csv
Orange,NP,R2,247,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 16,Sample 16_Plate11.csv
Red and Orange,NP,R2,168,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 17,Sample 17_Plate11.csv
Red and Orange,NP,R2,175,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 18,Sample 18_Plate11.csv
Red and Orange,NP,R2,266,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 19,Sample 19_Plate11.csv
Red and Orange,NP,R2,272,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 20,Sample 20_Plate11.csv
Red and Yellow,NP,R2,104,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 21,Sample 21_Plate11.csv
Red and Yellow,NP,R2,110,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 22,Sample 22_Plate11.csv
Yellow,NP,R2,233,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate9,Sample 23,Sample 23_Plate9.csv
Yellow,NP,R2,235,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/04/25,"Acer, A",Plate11,Sample 23,Sample 23_Plate11.csv
F,Control,R1,137,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 1,Sample 1_Plate12.csv
F,Control,R1,291,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 2,Sample 2_Plate12.csv
Green,Control,R1,176,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 3,Sample 3_Plate12.csv
Green,Control,R1,182,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 4,Sample 4_Plate12.csv
Green,Control,R1,189,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 5,Sample 5_Plate12.csv
Green,Control,R1,281,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 6,Sample 6_Plate12.csv
Green,Control,R1,287,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 7,Sample 7_Plate12.csv
Green and Orange,Control,R1,116,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 8,Sample 8_Plate12.csv
Green and Orange,Control,R1,122,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 9,Sample 9_Plate12.csv
Green and Orange,Control,R1,129,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 10,Sample 10_Plate12.csv
Green and Orange,Control,R1,220,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 11,Sample 11_Plate12.csv
Green and Orange,Control,R1,226,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 12,Sample 12_Plate12.csv
Orange,Control,R1,149,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 13,Sample 13_Plate12.csv
Orange,Control,R1,157,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 14,Sample 14_Plate12.csv
Orange,Control,R1,248,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 15,Sample 15_Plate12.csv
Red and Orange,Control,R1,162,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 16,Sample 16_Plate12.csv
Red and Orange,Control,R1,169,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 17,Sample 17_Plate12.csv
Red and Orange,Control,R1,261,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 18,Sample 18_Plate12.csv
Red and Orange,Control,R1,267,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 19,Sample 19_Plate12.csv
Red and Orange,Control,R1,273,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 20,Sample 20_Plate12.csv
Red and Yellow,Control,R1,105,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 21,Sample 21_Plate12.csv
