Sample,TotalSH,logSH,D.Prp,Community,Previous sample
Of_20-11_T22,0.025033015720909,-1.60148682789652,1,D,Of_20-11_T22
Of_20-50_T22,0.019554831067997,-1.70874593151721,1,D,Of_20-50_T22
Ss_22-16_T5,0.026571363392388,-1.57558616111099,1,D,Ss_22-16_T5
Ss_22-2_T5,0.033967737439938,-1.46893338012658,1,D,Ss_22-2_T5
Ss_22-21_T5,0.023931745702182,-1.6210256206021,1,D,Ss_22-21_T5
Ss_22-8_T5,0.02808819138954,-1.55147622430253,1,D,Ss_22-8_T5
Ss_23-54_T5,1.02654443659913,0.011377753659942,1,D,Ss_23-54_T5
Ss_23-57_T5,0.341141130073255,-0.467065916221447,1,D,Ss_23-57_T5
Ss_23-60_T5,0.075252153790662,-1.12348106562098,1,D,Ss_23-60_T5
Ss_23-65_T5,0.041623603146895,-1.38066032779853,1,D,Ss_23-65_T5
Ss_27-19_T5,0.013382993188527,-1.87344674307929,1,D,Ss_27-19_T5
Ss_27-28_T5,0.013189052410158,-1.8797864059565,0.926301617593677,D,Ss_27-28_T5
Ss_27-3_T5,0.00832375807661,-2.07968055069975,1,D,Ss_27-3_T5
Ss_28-2_T5,0.033835085060009,-1.47063272738071,0.962521910445291,D,Ss_28-2_T5
Ss_28-5_T5,0.020114093818295,-1.69649952852046,0.669196816510157,D,Ss_28-5_T5
Ss_28-8_T5,0.014908691282034,-1.82656047820606,0.753486808266961,D,Ss_28-8_T5
Ss_24-12_T5,0.03025400111319,-1.51921718145874,0.005563374577793,C3,Ss_24-12_T5
Ss_24-2_T5,0.044904741932877,-1.34770779515386,0.00037292922936,C3,Ss_24-2_T5
Ss_24-9_T5,0.040472432868966,-1.3928406886203,0.072548979119137,C3,Ss_24-9_T5
Ss_30-1_T5,0.017560052539484,-1.75547418902367,0,C3,Ss_30-1_T5
Ss_30-12_T5,0.00924078141138,-2.03429130277321,0,C3,Ss_30-12_T5
Ss_30-4_T5,0.012498200740393,-1.90315250417295,0,C3,Ss_30-4_T5
Ss_30-8_T5,0.016011229740893,-1.79557531085561,0,C3,Ss_30-8_T5
Ss_20-1_T5,0.005536509975364,-2.25676391326127,0.042547031275833,C1,Ss_20-1_T5
Ss_20-13_T5,0.004791443193919,-2.3195336563655,0,C1,Ss_20-13_T5
Ss_20-19_T5,0.012648553318184,-1.8979591442003,0,C1,Ss_20-19_T5
Ss_20-4_T5,0.023190051742105,-1.63469828235445,0,C1,Ss_20-4_T5
Ss_22-26_T5,0.01004993476109,-1.99783675744654,1,D,Ss_22-26_T5
