Spp,Treatment,Replicate,Fragment,Genotype,Date,Days,Time_Point,Phase,Sample,A.Host,logA.SH,B.Host,C.Host,D.Host,TotalSH,logB.SH,logC.SH,logD.SH,logSH,D.Prp,Community
A.cer,N+P,R2,Ac_128,Green and Orange,2017-11-15,0,T5,Baseline,Ac_128_T5,0.143990214049822,-0.84166702268655,0,0,0,0.143990214049822,NA,NA,NA,-0.84166702268655,,A
A.cer,N+P,R2,Ac_155,Orange,2017-11-15,0,T5,Baseline,Ac_155_T5,0.061173162450449,-1.21343906733157,0,0,0,0.061173162450449,NA,NA,NA,-1.21343906733157,,A
A.cer,N+P,R2,Ac_168,Red and Orange,2017-11-15,0,T5,Baseline,Ac_168_T5,0.484491302100918,-0.314714015276751,0,0,0,0.484491302100918,NA,NA,NA,-0.314714015276751,,A
A.cer,N+P,R2,Ac_175,Red and Orange,2017-11-15,0,T5,Baseline,Ac_175_T5,0.196287835215884,-0.707106614624749,0,0,0,0.196287835215884,NA,NA,NA,-0.707106614624749,,A
A.cer,N+P,R2,Ac_181,Green,2017-11-15,0,T5,Baseline,Ac_181_T5,0.627219653351456,-0.202580341891916,0,0,0,0.627219653351456,NA,NA,NA,-0.202580341891916,,A
A.cer,N+P,R2,Ac_188,Green,2017-11-15,0,T5,Baseline,Ac_188_T5,0.528891124666238,-0.276633720825257,0,0,0,0.528891124666238,NA,NA,NA,-0.276633720825257,,A
A.cer,N+P,R2,Ac_219,Green and Orange,2017-11-15,0,T5,Baseline,Ac_219_T5,0.097940045112536,-1.00903970027572,0,0,0,0.097940045112536,NA,NA,NA,-1.00903970027572,,A
A.cer,N+P,R2,Ac_225,Green and Orange,2017-11-15,0,T5,Baseline,Ac_225_T5,0.21228034016481,-0.67309022511472,0,0,0,0.21228034016481,NA,NA,NA,-0.67309022511472,,A
A.cer,N+P,R2,Ac_229,Green and Orange,2017-11-15,0,T5,Baseline,Ac_229_T5,0.369729655746411,-0.432115713585702,0,0,0,0.369729655746411,NA,NA,NA,-0.432115713585702,,A
A.cer,N+P,R2,Ac_247,Orange,2017-11-15,0,T5,Baseline,Ac_247_T5,0.171531170515976,-0.765656948781394,0,0,0,0.171531170515976,NA,NA,NA,-0.765656948781394,,A
A.cer,N+P,R2,Ac_266,Red and Orange,2017-11-15,0,T5,Baseline,Ac_266_T5,0.199442208795728,-0.700182924724477,0,0,0,0.199442208795728,NA,NA,NA,-0.700182924724477,,A
A.cer,N+P,R2,Ac_272,Red and Orange,2017-11-15,0,T5,Baseline,Ac_272_T5,0.241826234826807,-0.616496585929892,0,0,0,0.241826234826807,NA,NA,NA,-0.616496585929892,,A
A.cer,N+P,R2,Ac_280,Green,2017-11-15,0,T5,Baseline,Ac_280_T5,0.26472065486196,-0.577212171495742,0,0,0,0.26472065486196,NA,NA,NA,-0.577212171495742,,A
A.cer,N+P,R2,Ac_286,Green,2017-11-15,0,T5,Baseline,Ac_286_T5,0.32164533523447,-0.492622742714163,0,0,0,0.32164533523447,NA,NA,NA,-0.492622742714163,,A
A.cer,A,R1,Ac_105,Red and Yellow,2017-12-14,29,T9,Nutrients,Ac_105_T9,0.068656621243625,-1.16331757305351,0,0,0,0.068656621243625,NA,NA,NA,-1.16331757305351,,A
A.cer,A,R1,Ac_116,Green and Orange,2017-12-14,29,T9,Nutrients,Ac_116_T9,0.119331156189926,-0.923246151511488,0,0,0,0.119331156189926,NA,NA,NA,-0.923246151511488,,A
A.cer,A,R1,Ac_122,Green and Orange,2017-12-14,29,T9,Nutrients,Ac_122_T9,0.111494362563435,-0.952747091086559,0,0,0,0.111494362563435,NA,NA,NA,-0.952747091086559,,A
A.cer,A,R1,Ac_129,Green and Orange,2017-12-14,29,T9,Nutrients,Ac_129_T9,0.077806940984364,-1.10898165883616,0,0,0,0.077806940984364,NA,NA,NA,-1.10898165883616,,A
A.cer,A,R1,Ac_143,Yellow,2017-12-14,29,T9,Nutrients,Ac_143_T9,0.266654331964582,-0.57405135654127,0,0,0,0.266654331964582,NA,NA,NA,-0.57405135654127,,A
A.cer,A,R1,Ac_149,Orange,2017-12-14,29,T9,Nutrients,Ac_149_T9,0.107659136990316,-0.967949105867589,0,0,0,0.107659136990316,NA,NA,NA,-0.967949105867589,,A
A.cer,A,R1,Ac_157,Orange,2017-12-14,29,T9,Nutrients,Ac_157_T9,0.044441233506127,-1.35221389533266,0,0,0,0.044441233506127,NA,NA,NA,-1.35221389533266,,A
A.cer,A,R1,Ac_162,Red and Orange,2017-12-14,29,T9,Nutrients,Ac_162_T9,0.105882984517852,-0.975173825763526,0,0,0,0.105882984517852,NA,NA,NA,-0.975173825763526,,A
A.cer,A,R1,Ac_169,Red and Orange,2017-12-14,29,T9,Nutrients,Ac_169_T9,0.064728400796886,-1.18890512268495,0,0,0,0.064728400796886,NA,NA,NA,-1.18890512268495,,A
A.cer,A,R1,Ac_176,Green,2017-12-14,29,T9,Nutrients,Ac_176_T9,0.069230072575778,-1.15970521310555,0,0,0,0.069230072575778,NA,NA,NA,-1.15970521310555,,A
A.cer,A,R1,Ac_182,Green,2017-12-14,29,T9,Nutrients,Ac_182_T9,0.070440192928649,-1.15217946321395,0,0,0,0.070440192928649,NA,NA,NA,-1.15217946321395,,A
A.cer,A,R1,Ac_189,Green,2017-12-14,29,T9,Nutrients,Ac_189_T9,0.078185379973035,-1.10687444886652,0,0,0,0.078185379973035,NA,NA,NA,-1.10687444886652,,A
A.cer,A,R1,Ac_204,Red and Yellow,2017-12-14,29,T9,Nutrients,Ac_204_T9,0.188422436609711,-0.724867384368925,0,0,0,0.188422436609711,NA,NA,NA,-0.724867384368925,,A
A.cer,A,R1,Ac_220,Green and Orange,2017-12-14,29,T9,Nutrients,Ac_220_T9,0.135188343861283,-0.86906075229197,0,0,0,0.135188343861283,NA,NA,NA,-0.86906075229197,,A
A.cer,A,R1,Ac_226,Green and Orange,2017-12-14,29,T9,Nutrients,Ac_226_T9,0.085617093519407,-1.06743951943453,0,0,0,0.085617093519407,NA,NA,NA,-1.06743951943453,,A
A.cer,A,R1,Ac_248,Orange,2017-12-14,29,T9,Nutrients,Ac_248_T9,0.082987776903938,-1.08098586923941,0,0,0,0.082987776903938,NA,NA,NA,-1.08098586923941,,A
A.cer,A,R1,Ac_261,Red and Orange,2017-12-14,29,T9,Nutrients,Ac_261_T9,0.05384822763517,-1.26882858653374,0,0,0,0.05384822763517,NA,NA,NA,-1.26882858653374,,A
A.cer,A,R1,Ac_267,Red and Orange,2017-12-14,29,T9,Nutrients,Ac_267_T9,0.073228175978403,-1.13532178345676,0,0,0,0.073228175978403,NA,NA,NA,-1.13532178345676,,A
